SurfaceIndex,Method,ExecutionTime,numberPoints
186,Compute Shader Z-Buffer,0.0004289,435172
186,Z-Buffer,0.0457034,435172
186,Direct Method,29.7467,435172
187,Compute Shader Z-Buffer,0.0005044,435172
187,Z-Buffer,0.0475996,435172
187,Direct Method,31.1065,435172
188,Compute Shader Z-Buffer,0.0005138,435172
188,Z-Buffer,0.0455826,435172
188,Direct Method,28.131,435172
189,Compute Shader Z-Buffer,0.000576,435172
189,Z-Buffer,0.0454503,435172
189,Direct Method,27.4682,435172
190,Compute Shader Z-Buffer,0.0004584,435172
190,Z-Buffer,0.0455618,435172
190,Direct Method,27.2394,435172
191,Compute Shader Z-Buffer,0.0008438,435172
191,Z-Buffer,0.0449055,435172
191,Direct Method,32.1326,435172
192,Compute Shader Z-Buffer,0.0006259,435172
192,Z-Buffer,0.0501537,435172
192,Direct Method,34.9686,435172
193,Compute Shader Z-Buffer,0.0005014,435172
193,Z-Buffer,0.0464774,435172
193,Direct Method,30.8778,435172
194,Compute Shader Z-Buffer,0.0005514,435172
194,Z-Buffer,0.0455031,435172
194,Direct Method,31.5372,435172
195,Compute Shader Z-Buffer,0.0005617,435172
195,Z-Buffer,0.045966,435172
195,Direct Method,43.0655,435172
196,Compute Shader Z-Buffer,0.0008548,435172
196,Z-Buffer,0.0467295,435172
196,Direct Method,32.9381,435172
197,Compute Shader Z-Buffer,0.0006816,435172
197,Z-Buffer,0.0472914,435172
197,Direct Method,33.8175,435172
198,Compute Shader Z-Buffer,0.0004755,435172
198,Z-Buffer,0.0479095,435172
198,Direct Method,35.6309,435172
199,Compute Shader Z-Buffer,0.0005195,435172
199,Z-Buffer,0.0450195,435172
199,Direct Method,31.4431,435172
200,Compute Shader Z-Buffer,0.0011334,435172
200,Z-Buffer,0.0717091,435172
200,Direct Method,31.8237,435172
201,Compute Shader Z-Buffer,0.0004955,435172
201,Z-Buffer,0.0476418,435172
201,Direct Method,30.0186,435172
202,Compute Shader Z-Buffer,0.0008621,435172
202,Z-Buffer,0.0473178,435172
202,Direct Method,29.0504,435172
203,Compute Shader Z-Buffer,0.0005571,435172
203,Z-Buffer,0.0471552,435172
203,Direct Method,30.4426,435172
204,Compute Shader Z-Buffer,0.0006007,435172
204,Z-Buffer,0.0464716,435172
204,Direct Method,29.7467,435172
205,Compute Shader Z-Buffer,0.0008496,435172
205,Z-Buffer,0.0478137,435172
205,Direct Method,30.8024,435172
206,Compute Shader Z-Buffer,0.0009738,435172
206,Z-Buffer,0.0469551,435172
206,Direct Method,28.5938,435172
207,Compute Shader Z-Buffer,0.000552,435172
207,Z-Buffer,0.0477731,435172
207,Direct Method,29.3156,435172
208,Compute Shader Z-Buffer,0.0004462,435172
208,Z-Buffer,0.0542413,435172
208,Direct Method,34.4733,435172
209,Compute Shader Z-Buffer,0.0005866,435172
209,Z-Buffer,0.0477203,435172
209,Direct Method,28.0299,435172
210,Compute Shader Z-Buffer,0.0004803,435172
210,Z-Buffer,0.0462907,435172
210,Direct Method,27.2152,435172
211,Compute Shader Z-Buffer,0.0006073,435172
211,Z-Buffer,0.0451987,435172
211,Direct Method,31.7041,435172
212,Compute Shader Z-Buffer,0.0005716,435172
212,Z-Buffer,0.0454491,435172
212,Direct Method,31.0636,435172
213,Compute Shader Z-Buffer,0.0004733,435172
213,Z-Buffer,0.0441748,435172
213,Direct Method,28.6969,435172
214,Compute Shader Z-Buffer,0.0004212,435172
214,Z-Buffer,0.0448993,435172
214,Direct Method,28.7299,435172
215,Compute Shader Z-Buffer,0.0005212,435172
215,Z-Buffer,0.0465257,435172
215,Direct Method,30.7488,435172
216,Compute Shader Z-Buffer,0.0004695,435172
216,Z-Buffer,0.0493054,435172
216,Direct Method,29.1988,435172
217,Compute Shader Z-Buffer,0.0006357,435172
217,Z-Buffer,0.0443425,435172
217,Direct Method,29.6428,435172
218,Compute Shader Z-Buffer,0.0007304,435172
218,Z-Buffer,0.0545909,435172
218,Direct Method,29.8425,435172
219,Compute Shader Z-Buffer,0.0005444,435172
219,Z-Buffer,0.045399,435172
219,Direct Method,30.8722,435172
220,Compute Shader Z-Buffer,0.0006167,435172
220,Z-Buffer,0.0454808,435172
220,Direct Method,28.5344,435172
221,Compute Shader Z-Buffer,0.000746,435172
221,Z-Buffer,0.0463099,435172
221,Direct Method,28.4213,435172
222,Compute Shader Z-Buffer,0.0005205,435172
222,Z-Buffer,0.0455043,435172
222,Direct Method,27.7323,435172
223,Compute Shader Z-Buffer,0.0006882,435172
223,Z-Buffer,0.0459847,435172
223,Direct Method,27.4178,435172
224,Compute Shader Z-Buffer,0.0004834,435172
224,Z-Buffer,0.0470542,435172
224,Direct Method,28.2102,435172
225,Compute Shader Z-Buffer,0.0006934,435172
225,Z-Buffer,0.0444982,435172
225,Direct Method,30.9633,435172
226,Compute Shader Z-Buffer,0.0004778,435172
226,Z-Buffer,0.0443648,435172
226,Direct Method,30.4182,435172
227,Compute Shader Z-Buffer,0.000526,435172
227,Z-Buffer,0.045224,435172
227,Direct Method,30.8157,435172
228,Compute Shader Z-Buffer,0.000591,435172
228,Z-Buffer,0.0462244,435172
228,Direct Method,28.7398,435172
229,Compute Shader Z-Buffer,0.0004597,435172
229,Z-Buffer,0.0515206,435172
229,Direct Method,27.5709,435172
230,Compute Shader Z-Buffer,0.0006238,435172
230,Z-Buffer,0.0467826,435172
230,Direct Method,28.88,435172
231,Compute Shader Z-Buffer,0.0005781,435172
231,Z-Buffer,0.0441552,435172
231,Direct Method,30.14,435172
